donation_id,supporter_id,donation_type,donation_date,is_recurring,campaign_name,channel_source,currency_code,amount,estimated_value,impact_unit,notes,referral_post_id
1,42,Monetary,2025-12-31,False,,Campaign,USD,12.97,12.97,córdobas,In support of safehouse operations,
2,25,Time,2025-12-02,True,Year-End Hope,Event,,,35.15,hours,Community outreach support,
3,19,Monetary,2024-12-02,False,,PartnerReferral,USD,19.41,19.41,quetzales,Campaign support,
4,33,Monetary,2023-09-11,False,,PartnerReferral,USD,21.92,21.92,lempiras,In support of safehouse operations,
5,24,InKind,2023-11-08,True,GivingTuesday,SocialMedia,,,1177.41,items,In support of safehouse operations,421
6,25,Monetary,2025-09-18,True,,Direct,USD,122.19,122.19,dollars,Campaign support,
7,25,Time,2024-12-14,True,Year-End Hope,Event,,,37.53,hours,Campaign support,
8,23,Monetary,2024-11-21,False,GivingTuesday,Direct,USD,108.12,108.12,dollars,Campaign support,
9,54,InKind,2023-09-25,True,,Campaign,,,911.84,items,Monthly contribution,
10,36,Monetary,2023-04-16,False,Summer of Safety,Event,USD,30.34,30.34,córdobas,In support of safehouse operations,
11,13,Time,2023-02-10,False,,Event,,,11.39,hours,In support of safehouse operations,
12,26,Monetary,2024-11-20,True,GivingTuesday,Direct,USD,319.17,319.17,dollars,Event donation,
13,25,InKind,2025-08-30,True,,Direct,,,433.32,items,Campaign support,
14,47,Monetary,2025-10-07,False,,PartnerReferral,USD,277.51,277.51,dollars,In support of safehouse operations,
15,1,InKind,2023-07-02,True,,Event,,,300.0,items,Campaign support,
16,45,Monetary,2024-10-25,True,,Campaign,USD,71.73,71.73,lempiras,Monthly contribution,
17,26,SocialMedia,2023-08-11,True,,Event,,,4.3,campaigns,Community outreach support,
18,51,Time,2026-01-06,False,,Direct,,,17.79,hours,Monthly contribution,
19,4,Monetary,2026-03-01,True,,Event,USD,61.73,61.73,dollars,Community outreach support,
20,45,Monetary,2023-08-31,True,,Campaign,USD,17.14,17.14,lempiras,Event donation,
21,41,Monetary,2024-01-13,False,,Event,USD,242.13,242.13,dollars,Monthly contribution,
22,22,Monetary,2025-11-13,False,,Campaign,USD,20.05,20.05,quetzales,Recurring gift,
23,37,Time,2024-02-06,False,,Direct,,,21.44,hours,Campaign support,
24,54,SocialMedia,2023-04-27,True,Summer of Safety,PartnerReferral,,,3.05,campaigns,In support of safehouse operations,
25,9,Monetary,2024-11-04,False,Year-End Hope,SocialMedia,USD,32.48,32.48,córdobas,Campaign support,779
26,29,Monetary,2025-09-28,False,,Event,USD,19.58,19.58,quetzales,Community outreach support,
27,7,InKind,2023-10-19,True,,Event,,,826.93,items,Community outreach support,
28,54,Skills,2025-06-15,True,Back to School,PartnerReferral,,,11.27,hours,Community outreach support,
29,31,Monetary,2023-12-26,True,,SocialMedia,USD,18.34,18.34,córdobas,Monthly contribution,61
